First,Last,VAL,PS,POS
Robert,Woods,-14,0,WR
Graham,Gano,-14.1,0,PK
Dan,Carpenter,-14.2,0,PK
Nick,Folk,-14.3,0,PK
Michael,Vick,-14.4,0,QB
Jay,Feely,-14.5,0,PK
Ronnie,Hillman,-14.6,0,RB
Donte,Moncrief,-14.7,0,WR
Mike,Nugent,-14.8,0,PK
Denarius,Moore,-14.9,0,WR
